producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
producto,precio,cantidad
Grapadora,12.99,15
Boligrafo,0.99,500
