Producto,Precio,Cantidad
Manzana,1.50,100
Banana,0.80,150
Naranja,0.90,120PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
PLatanos,"2,25",50
sandias,"0,75",30
Cherry,0.75,20
Peras,2.25,120
